0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000
0x2185, 0xC002, 0x2EBA, 0xC000, 0x2AAA, 0xC410, 0x2EBA, 0xC000, 0x2186, 0xC000, 0x2EBA, 0xC000, 0x2AAA, 0xC410, 0x2EAA, 0xC010, 0x21AB, 0xC010, 0x9E44, 0xE1BB, 0xC010, 0xFFFF, 0xE1BB, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF
0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0xF800, 0xFFFF, 0x0000, 0xFFFF
0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000
0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8FFF, 0x8000, 0x8000, 0x8FFF, 0x8000, 0x9FFF, 0x8000, 0xBFFF, 0x8000, 0xFFFF, 0xFFFF, 0xFFFF
0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF
0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0x0001, 0xFFFF, 0x0001, 0xFFFF, 0x0001, 0xFFFF, 0x0001, 0xFFFF, 0xFFFF, 0xFFFF
0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F, 0xFFE1, 0x001F
0xFFFF, 0xFFFF, 0x8FFF, 0x8001, 0x87FB, 0x8FFD, 0x8D9F, 0xBBFD, 0xFAEF, 0xB11D, 0xF1F7, 0xA00D, 0xFBF7, 0xA00D, 0xFFF7, 0xA00D, 0xEFF7, 0xB00D, 0xFFAF, 0xB01D, 0xFFDF, 0xB83D, 0xFFBF, 0xBC7D, 0xFF7F, 0xBEFD, 0xDFFB, 0xBFFD, 0xFFFF, 0x8001, 0xFFFF, 0xFFFF
0x7FFF, 0x0001, 0xFFFF, 0xFFFF, 0x9999, 0x9999, 0x7777, 0x1111, 0x4077, 0x3F11, 0x4C77, 0x3311, 0x4077, 0x3F11, 0x7777, 0x1111, 0x7777, 0x1111, 0x7777, 0x1111, 0x7777, 0x1111, 0x7777, 0x1111, 0x7777, 0x1111, 0xFFFF, 0x7777, 0xFFFF, 0xFFFF, 0x7FFF, 0x0001
0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF
0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF
0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000
0x18AA, 0x0010, 0xEDAA, 0x0010, 0xADAA, 0x4010, 0xADBA, 0x4000, 0xAD82, 0x4000, 0xADBA, 0x4000, 0xADAA, 0x4010, 0xEDAA, 0x0010, 0x15AA, 0x0810, 0xE245, 0x1DBA, 0x0810, 0xFFFF, 0x1DBA, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF
0x96B7, 0x79CF, 0x96B7, 0x79CF, 0x96B3, 0x79CB, 0x96B5, 0x79CF, 0x96B7, 0x79CF, 0x96B7, 0x79CF, 0x96B3, 0x79CB, 0x96B5, 0x79CF, 0x96B7, 0x79CF, 0x96B7, 0x79CF, 0x96B3, 0x79CB, 0x96B5, 0x79CF, 0x96B7, 0x79CF, 0x96B7, 0x79CF, 0x96B3, 0x79CB, 0x96B5, 0x79CF
0xF6B4, 0xF9CF, 0xF6B4, 0xF9CF, 0xE6B4, 0xE9CF, 0xD6B4, 0xF9CF, 0xF6B4, 0xF9CF, 0xF6B4, 0xF9CF, 0xE6B4, 0xE9CF, 0xD6B4, 0xF9CF, 0xF6B4, 0xF9CF, 0xF6B4, 0xF9CF, 0xE6B4, 0xE9CF, 0xD6B4, 0xF9CF, 0xF6B4, 0xF9CF, 0xF6B4, 0xF9CF, 0xE6B4, 0xE9CF, 0xD6B4, 0xF9CF
0x56B7, 0x39CF, 0x56B7, 0x39CF, 0x56B3, 0x39CB, 0x56B5, 0x39CF, 0x56B7, 0x39CF, 0x56B7, 0x39CF, 0x56B3, 0x39CB, 0x56B5, 0x39CF, 0x56B7, 0x39CF, 0x56B7, 0x39CF, 0x56B3, 0x39CB, 0x56B5, 0x39CF, 0x56B7, 0x39CF, 0x56B7, 0x39CF, 0x56B3, 0x39CB, 0x56B5, 0x39CF
0xF6B5, 0xF9CE, 0xF6B5, 0xF9CE, 0xE6B5, 0xE9CE, 0xD6B5, 0xF9CE, 0xF6B5, 0xF9CE, 0xF6B5, 0xF9CE, 0xE6B5, 0xE9CE, 0xD6B5, 0xF9CE, 0xF6B5, 0xF9CE, 0xF6B5, 0xF9CE, 0xE6B5, 0xE9CE, 0xD6B5, 0xF9CE, 0xF6B5, 0xF9CE, 0xF6B5, 0xF9CE, 0xE6B5, 0xE9CE, 0xD6B5, 0xF9CE
0x3FE8, 0xFFFF, 0x1FFF, 0x7000, 0x0F00, 0xB8FF, 0x87C0, 0x5C3F, 0xC3FF, 0x2FFF, 0xE1FF, 0x17FF, 0xF000, 0x0BFF, 0xF83F, 0x05C0, 0x7C1F, 0x82E0, 0x3E10, 0xC17F, 0x9F0F, 0x60BF, 0x4F84, 0xB05F, 0xA7C2, 0xD82F, 0xD3E1, 0xEC17, 0x69F0, 0xF60B, 0x34F8, 0xFB05
0x0000, 0xFFFF, 0x000C, 0x0003, 0x00F0, 0xFF0F, 0x1FE1, 0xE01F, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x003F, 0xFFFF, 0xFFBC, 0x007F, 0xFF3C, 0x00FF, 0x003C, 0xFFFF, 0xFFFC, 0xFFFF, 0x0FF8, 0xFFFF, 0x0FF0, 0xFFFF, 0x3F00, 0xCFFF, 0x9E00, 0xFFFF, 0x5E00, 0xFFFF
0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x5DFF, 0x5FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x75FF, 0x77FF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF, 0x7DFF, 0x7FFF
0x1A7C, 0xFD82, 0x8D3E, 0x7EC1, 0xC69F, 0x3F60, 0xE34F, 0x1FB0, 0xF1A7, 0x0FD8, 0xF8D3, 0x07EC, 0xFC69, 0x03F6, 0xFE34, 0x01FB, 0xFF1A, 0x00FD, 0xFF8D, 0x007E, 0xFFC6, 0x003F, 0xFFE3, 0x001F, 0xFFF1, 0x000F, 0xFFF8, 0x0007, 0xFFFC, 0x0003, 0xFFFE, 0x0001
0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80, 0x8168, 0xFE80
0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F, 0x1681, 0x017F
0x0000, 0x0000, 0x8000, 0x7FFF, 0x0000, 0x0000, 0x8000, 0x7FFF, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x8000, 0x7FFF, 0x0000, 0x0000, 0x8000, 0x7FFF
0x0000, 0x0000, 0x0000, 0xFFFF, 0xFFFF, 0x0000, 0x0000, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0x0000, 0xFFFF, 0xFFFF, 0x0000, 0x0000, 0xFFFF
0xFFFE, 0x0001, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF
0x0000, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0x9D66, 0x6299, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xF57F, 0xFFFF, 0xFFFE, 0xFFFF, 0xFF90, 0xFFFF, 0xB2FF, 0xFFFF, 0xCDE0, 0xFFFF, 0xFB8F, 0xFEFF, 0x8120
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0738, 0x0000, 0x0738, 0x0000, 0x0738, 0x0000, 0x07F8, 0x0000, 0x07F9, 0x0000, 0x0739, 0x0000, 0x0738, 0x0000, 0x0738, 0x0000, 0x0738, 0x0000, 0x0000, 0x0000, 0x0000, 0xFFFF, 0x0000
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x1C0F, 0x0000, 0x1C0F, 0x0000, 0x1C0E, 0x0000, 0x1C0E, 0x0000, 0x9CCF, 0x0000, 0x9CCF, 0x0000, 0x1C0E, 0x0000, 0x1C0E, 0x0000, 0x1C0E, 0x0000, 0x0000, 0x0000, 0x0000, 0xFFFF, 0x0000
0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF81, 0xC381, 0x7FC3, 0xFFFF, 0x7FFF, 0xFFFF, 0x7FFF, 0xFFFF, 0x7FFF, 0xFFFF, 0x77FF, 0xFFFF, 0x7FFF
0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF00, 0x0000, 0xFF81, 0xC381, 0xFF43, 0xFFFF, 0xFF7F, 0xFFFF, 0xFF7F, 0xFFFF, 0xFF7F, 0xFFFF, 0xFF77, 0xFFFF, 0xFF7F
0x0000, 0x0000, 0x8000, 0x7FFF, 0x0000, 0x0000, 0x8000, 0x7FFF, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x8000, 0x7FFF, 0x0000, 0x0000, 0x8000, 0x7FFF
0x0000, 0x0000, 0x0000, 0xFFFF, 0xFFFF, 0x0000, 0x0000, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0x0000, 0xFFFF, 0xFFFF, 0x0000, 0x0000, 0xFFFF
0xFFFE, 0x0001, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF
0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x3018, 0xFFFF, 0x7038, 0xFFFF, 0xFC38, 0xFFFF, 0xFE39, 0xFFFF, 0xFE7F, 0xFFFF, 0xFE7F, 0xFFFF, 0xFF7F, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF
0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x8000, 0xFFFF, 0xC442, 0xFFFF, 0xCC42, 0xFFFF, 0xED42, 0xFFFF, 0xEFC6, 0xFFFF, 0xFFE7, 0xFFFF, 0xFFE7, 0xFFFF, 0xFFEF, 0xFFFF, 0xFFFF
0xFC57, 0xE000, 0xF877, 0xE011, 0xF077, 0xE000, 0xFE37, 0xE000, 0xF637, 0xE410, 0xF617, 0xE011, 0xF635, 0xE400, 0xF43D, 0xE400, 0xF415, 0xE410, 0xF437, 0xE400, 0xFC37, 0xE000, 0xF83B, 0xE000, 0xFC1B, 0xC008, 0xFC1B, 0xD008, 0xFC0B, 0xC000, 0xFC3F, 0xE000
0xFFFF, 0x29FF, 0xFFFF, 0x2BFF, 0xFFFF, 0x2BFF, 0xFFFF, 0xABFF, 0xFFFF, 0x8BFF, 0xFFFF, 0x1BFF, 0xFFFF, 0x1BFF, 0xFFFF, 0x3EFF, 0xFFFF, 0x77FF, 0xFFFF, 0x4EFF, 0xFFFF, 0x177F, 0xFFFF, 0xB6FF, 0xFFFF, 0x2FFF, 0xFFFF, 0x2FFF, 0xFFFF, 0x77FF, 0xFFFF, 0x7FFF
0xFFFF, 0x2F3F, 0xFFFF, 0x2A7F, 0xFFFF, 0x28FF, 0xFDFF, 0xA8FF, 0xFFFF, 0x99FF, 0xFFFF, 0x19FF, 0xFFFF, 0x3BFF, 0xFFFF, 0x3EFF, 0xFFFF, 0x77FF, 0xFFFF, 0x4EFF, 0xFFFF, 0x167F, 0xFFFF, 0xB6FF, 0xFFFF, 0x2FFF, 0xFFFF, 0x2E7F, 0xFFFF, 0xB67F, 0xFFFF, 0xDEFF
0xFFFF, 0x1810, 0xFFFF, 0x00C3, 0xFFFF, 0xF99F, 0xFFFF, 0xFFB3, 0xEFFF, 0xFDB0, 0xC7FF, 0xEFFF, 0xEFFF, 0xFFFF, 0xFFDF, 0xFFFF, 0xFFFF, 0xFFDF, 0xFF57, 0xFF8F, 0xFFFF, 0xFFDF, 0xFFDF, 0xFFFF, 0xFBFF, 0xFFFF, 0xF1FF, 0xFBFF, 0xFBFF, 0xFFFF, 0xFFFF, 0xBDFF
0xFFFF, 0x0420, 0xFFFF, 0xDFFF, 0xFFFF, 0x3FFE, 0xFFFF, 0xFFFF, 0xFFFD, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFF7B, 0xFFFF, 0xFE7A, 0xFFFF, 0xF062, 0xFFFF, 0xF020, 0xFFFF, 0xE020, 0xFFFF, 0xC020, 0xFFFF, 0x8000
0xFFFF, 0x2068, 0xFFFF, 0xFFB8, 0xFFFF, 0xF07F, 0xFFFF, 0x7FFF, 0xFFFF, 0xFFE0, 0xFFFF, 0xFFE0, 0xFFFF, 0xFFC0, 0xFFFF, 0xF700, 0xFFFF, 0x7300, 0xFFFF, 0x7200, 0xFFFF, 0x6200, 0xFFFF, 0x2000, 0xFFFF, 0x2000, 0xFFFF, 0x2000, 0xFFFF, 0x0000, 0xFFFF, 0x0000
0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF, 0xE7FF, 0xFFFF
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
0xFFFF, 0x0818, 0xFFFF, 0xC300, 0xFFFF, 0xF99F, 0xFFFF, 0xCDFF, 0xFFF7, 0x0DBF, 0xFFE3, 0xFFF7, 0xFFF7, 0xFFFF, 0xFBFF, 0xFFFF, 0xFFFF, 0xFBFF, 0xEAFF, 0xF1FF, 0xFFFF, 0xFBFF, 0xFBFF, 0xFFFF, 0xFFDF, 0xFFFF, 0xFF8F, 0xFFDF, 0xFFDF, 0xFFFF, 0xFFFF, 0xFFBD
0xFFDF, 0xFFFF, 0xFFDF, 0xFFFF, 0xBF8F, 0xFFFF, 0xCF07, 0xFFFF, 0xC000, 0xFFFF, 0xC001, 0xFFFF, 0xC001, 0xFFFF, 0xC001, 0xFFFF, 0xC001, 0xFFFF, 0x8000, 0xFFFF, 0x0003, 0xFFFF, 0x8007, 0xFFFF, 0x800F, 0xFFFF, 0x800F, 0xFFFF, 0x6027, 0xFFFF, 0xFBF7, 0xFFFF
0xFFFF, 0x1604, 0xFFFF, 0x1DFF, 0xFFFF, 0xFE0F, 0xFFFF, 0xFFFE, 0xFFFF, 0x07FF, 0xFFFF, 0x07FF, 0xFFFF, 0x03FF, 0xFFFF, 0x00EF, 0xFFFF, 0x00CE, 0xFFFF, 0x004E, 0xFFFF, 0x0046, 0xFFFF, 0x0004, 0xFFFF, 0x0004, 0xFFFF, 0x0004, 0xFFFF, 0x0000, 0xFFFF, 0x0000
0xFFFF, 0x0004, 0xFFFF, 0xFFFB, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFE, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFEFF, 0xFFFF, 0x10FF, 0xFFFF, 0x107F, 0xFFFF, 0x000F, 0xFFFF, 0x0007, 0xFFFF, 0x0007, 0xFFFF, 0x0003, 0xFFFF, 0x0001
0xFFFF, 0x0000, 0xFFFF, 0x7FFF, 0xFFFF, 0x0FFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x6F7F, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x0010, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000
0x0000, 0x0000, 0x7FFF, 0x0000, 0x7FFF, 0x3FFF, 0x6175, 0x355F, 0x63EA, 0x2ABF, 0x6755, 0x35FF, 0x6EAA, 0x2BFF, 0x7D55, 0x37FF, 0x6AAA, 0x2FFF, 0x7D55, 0x37FF, 0x7AAA, 0x2FFF, 0x7555, 0x3FFF, 0x6AAA, 0x3FFF, 0x7555, 0x3FFF, 0x6AAA, 0x3FFF, 0x7555, 0x3FFF
