//tile 19 4 pixels en haut à gauche
//light :
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0008, 0x0187, 0x0100, 0x0200
0xFFFE, 0x0001, 0x0001, 0xFFFF, 0x3333, 0x6667, 0xCCCD, 0xFFFF, 0x5555, 0x5555, 0x5555, 0x5555, 0x5555, 0x5555, 0x0000, 0x0000
//fish
//light :
0x0180, 0xC0C0, 0x60F8, 0x31FE, 0x37E7, 0x3FFF, 0x3C6E, 0x37B4, 0x60D0, 0xC180, 0x0100, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
//egg (whole)
//light :
0x0380, 0x06C0, 0x0C60, 0x1830, 0x1010, 0x3018, 0x2018, 0x2018, 0x3018, 0x3038, 0x1870, 0x0FE0, 0x07C0, 0x0000, 0x0000, 0x0000
//egg (broken)
//light :
0x0000, 0x0000, 0x0000, 0x0080, 0x00C0, 0x0040, 0x0060, 0x0060, 0x0060, 0x0060, 0x00E0, 0x01C0, 0x0180, 0x0000, 0x0000, 0x0000
